model	E_kin	D	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tpd	tpp	tppp	ave_D	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_e_2	ave_mu_2	ave_tpp_2	ave_tppp_2	E0_1	sector_1	n_1	E0_2	sector_2	n_2	githash	version	GS_consistency	iterations	dist_function	convergence	script	time	
2x2_2C_6b_C2v_L	6.5414857	0	13.587439	3.1170278	2.7309257	-0.16916213	-4.4505397	0.1691606	-4.4502945	-3.7223462	10.802488	1.1089551	-0.18130748	0.023538945	-0.12803116	0.023538569	6.5965213e-07	-3.8183729e-06	0.12802888	1.9345092	0.18130473	-1.9344587	-2.4157581	2.3439092	1	0.30504082	-0.024892837	1.246185	1.6197655	-0.64735425	-0.21334577	0.087815013	0.18722524	0.039916936	1.6532794	1.7538758	0.34672786	1.7538742	1.4949894	1.1643214	-0.55978066	1.092226	0.16656641	0.89555301	0.16657012	-7.2601842e-06	1.7102174e-05	-0.89554525	-1.7791814	-1.0922462	1.7791612	2.787101	2	2	0	0	-76.277274	R0:S0:1	1.1643214	-122.96736	uncorrelated	2	817c5bc	v2.2.6	YY	8	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-03@11:19
2x2_2C_6b_C2v_L	6.558063	0	13.587439	3.1170278	2.7356689	-0.16833157	-4.4589869	0.16833762	-4.4590864	-3.7306538	10.812488	1.109814	-0.17995858	0.023429341	-0.12868681	0.023432307	1.0395823e-06	-2.7109572e-06	0.12868674	1.9352064	0.17995759	-1.9352259	-2.4169045	2.3439092	1	0.30504082	-0.024786553	1.2465719	1.6204176	-0.64584825	-0.21245266	0.087476943	0.18743844	0.039997682	1.6558657	1.7551788	0.34412182	1.7551769	1.4967614	1.164817	-0.56056916	1.0859777	0.16558019	0.89303235	0.16557617	-1.3908238e-06	7.6045094e-06	-0.89302796	-1.7744133	-1.0859334	1.7744364	2.7836484	2	2	0	0	-76.369802	R0:S0:1	1.164817	-123.12736	uncorrelated	2	817c5bc	v2.2.6	YY	9	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-03@11:21
2x2_2C_6b_C2v_L	6.5746874	0	13.587439	3.1170278	2.7405321	-0.1675128	-4.4678173	0.1675178	-4.4679646	-3.7390095	10.822488	1.1107062	-0.17859233	0.023316913	-0.1293556	0.023324029	7.1249961e-07	-5.9904803e-07	0.12935093	1.9359771	0.17859395	-1.9360076	-2.4180664	2.3439092	1	0.30504082	-0.024678856	1.246959	1.6210715	-0.64433715	-0.2115565	0.087138493	0.18765019	0.040080163	1.6584794	1.756481	0.34151583	1.756481	1.4985306	1.1653104	-0.56136903	1.0795709	0.16459336	0.89047958	0.16458142	1.0573337e-06	2.6510423e-06	-0.89046491	-1.769671	-1.0795413	1.7696892	2.780196	2	2	0	0	-76.463494	R0:S0:1	1.1653104	-123.28736	uncorrelated	2	817c5bc	v2.2.6	YY	10	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-03@11:22
2x2_2C_6b_C2v_L	6.5912985	0	13.587439	3.1170278	2.745272	-0.1666756	-4.4763404	0.16670511	-4.4768154	-3.7474091	10.832488	1.1115809	-0.17719725	0.023198251	-0.13002437	0.023205014	1.6164635e-07	-6.7498227e-06	0.13001799	1.9366805	0.17721316	-1.9367798	-2.4192377	2.3439092	1	0.30504082	-0.024571511	1.2473454	1.6217249	-0.64282704	-0.21066042	0.086801234	0.18786174	0.040163238	1.6610878	1.7577654	0.33890862	1.7577707	1.5002886	1.1658021	-0.56216802	1.0730576	0.16362669	0.88789533	0.16361011	-7.5227337e-07	1.7948712e-05	-0.88788892	-1.7649711	-1.073049	1.7649949	2.7767683	2	2	0	0	-76.556529	R0:S0:1	1.1658021	-123.44736	uncorrelated	2	817c5bc	v2.2.6	YY	10	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-03@11:23
2x2_2C_6b_C2v_L	6.6079909	0	13.587439	3.1170278	2.7502252	-0.16592938	-4.4859675	0.16592147	-4.4859618	-3.7558874	10.842488	1.1125158	-0.17581474	0.023093049	-0.13072444	0.02308827	1.128069e-06	-4.6177905e-07	0.13072958	1.9376078	0.17580698	-1.9376107	-2.4204399	2.3439092	1	0.30504082	-0.024462856	1.2477326	1.6223817	-0.64130812	-0.2097602	0.086462346	0.1880711	0.040248179	1.6637271	1.7590749	0.33624978	1.7590665	1.5020481	1.166291	-0.56297993	1.0664455	0.16264382	0.88529577	0.16264931	7.4792564e-07	-5.1615207e-07	-0.88530198	-1.7602243	-1.0663632	1.7602713	2.7733306	2	2	0	0	-76.653	R0:S0:1	1.166291	-123.60736	uncorrelated	2	817c5bc	v2.2.6	YY	10	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-03@11:25
2x2_2C_6b_C2v_L	6.6246311	0	13.587439	3.1170278	2.7551204	-0.1651071	-4.4946258	0.16516222	-4.4952531	-3.7643982	10.852488	1.1134401	-0.17437445	0.02296234	-0.13143457	0.022978338	-4.2027929e-07	1.9613075e-06	0.1314125	1.9383341	0.17438879	-1.9384567	-2.421648	2.3439092	1	0.30504082	-0.024352235	1.2481184	1.6230353	-0.63979432	-0.20886101	0.086124305	0.18828051	0.0403341	1.6663652	1.7603504	0.33360178	1.760354	1.5037975	1.1667789	-0.56379469	1.0596977	0.16170092	0.88267582	0.16167567	8.6855454e-06	-1.3579288e-05	-0.88263384	-1.7555421	-1.0595841	1.7555975	2.769915	2	2	0	0	-76.747592	R0:S0:1	1.1667789	-123.76736	uncorrelated	2	817c5bc	v2.2.6	YY	10	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-03@11:26
2x2_2C_6b_C2v_L	6.6413367	0	13.587439	3.1170278	2.7600426	-0.16438923	-4.504405	0.16437304	-4.5043195	-3.7729437	10.862488	1.1143964	-0.17294552	0.022854941	-0.13214971	0.022852107	6.6096132e-07	-1.1066145e-06	0.13214954	1.9392812	0.17293315	-1.9392571	-2.4228643	2.3439092	1	0.30504082	-0.024241783	1.2485048	1.623692	-0.63827332	-0.20795865	0.085785843	0.18848801	0.040422506	1.6690325	1.7616396	0.33096073	1.7616371	1.505542	1.1672637	-0.56462599	1.0527739	0.16073173	0.88002632	0.16073342	-1.5241857e-06	5.1599915e-06	-0.88001031	-1.7508817	-1.0527329	1.7508867	2.7665	2	2	0	0	-76.844425	R0:S0:1	1.1672637	-123.92736	uncorrelated	2	817c5bc	v2.2.6	YY	10	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-03@11:28
2x2_2C_6b_C2v_L	6.6580432	0	13.587439	3.1170278	2.7651055	-0.1636187	-4.513671	0.16361829	-4.5135909	-3.7816349	10.872488	1.1153814	-0.17146751	0.022724164	-0.13287356	0.022725161	-8.5822506e-07	2.1197788e-06	0.13287162	1.9401173	0.1714653	-1.9400979	-2.4241298	2.3439092	1	0.30504082	-0.024129332	1.2488907	1.624348	-0.6367521	-0.20705506	0.085447103	0.18869526	0.040511715	1.6717099	1.7629126	0.3282915	1.7629133	1.5072846	1.1677475	-0.56545924	1.0457314	0.15979881	0.87730651	0.15979987	1.479775e-06	-6.4673987e-06	-0.87730084	-1.746235	-1.045735	1.7462229	2.7630954	2	2	0	0	-76.940851	R0:S0:1	1.1677475	-124.08736	uncorrelated	2	817c5bc	v2.2.6	YY	10	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-03@11:29
2x2_2C_6b_C2v_L	6.6747599	0	13.587439	3.1170278	2.769994	-0.16288593	-4.5232186	0.16287259	-4.5230127	-3.7903177	10.882488	1.1163505	-0.16997269	0.022598951	-0.13362039	0.022593932	-1.4548357e-06	1.9493149e-06	0.13362792	1.9409994	0.16996738	-1.9409563	-2.4253924	2.3439092	1	0.30504082	-0.024017576	1.2492761	1.6250048	-0.63522903	-0.20615103	0.085109029	0.1889013	0.040602245	1.6743723	1.7641837	0.32563326	1.7641831	1.509013	1.1682284	-0.56629754	1.0385826	0.1588744	0.87463043	0.15888523	1.0399818e-06	-6.7023741e-06	-0.87464596	-1.7416009	-1.0386106	1.7415805	2.759715	2	2	0	0	-77.038248	R0:S0:1	1.1682284	-124.24736	uncorrelated	2	817c5bc	v2.2.6	YY	10	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-03@11:30
2x2_2C_6b_C2v_L	6.6915602	0	13.587439	3.1170278	2.7751247	-0.16219537	-4.5331423	0.16217327	-4.5326894	-3.7990987	10.892488	1.1173714	-0.16846608	0.02246377	-0.13439395	0.022460417	2.5315921e-06	2.6269115e-06	0.134395	1.9419596	0.16845291	-1.9418625	-2.4266851	2.3439092	1	0.30504082	-0.023906043	1.2496627	1.6256649	-0.63369751	-0.20524208	0.084769609	0.18910587	0.040693713	1.6770885	1.7654578	0.32292209	1.7654568	1.5107441	1.1687076	-0.56714135	1.031299	0.15798081	0.87188737	0.15799209	-7.0224447e-06	-1.085453e-06	-0.8718791	-1.7369652	-1.0313253	1.736922	2.7563272	2	2	0	0	-77.137348	R0:S0:1	1.1687076	-124.40736	uncorrelated	2	817c5bc	v2.2.6	YY	10	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-03@11:32
2x2_2C_6b_C2v_L	6.7083266	0	13.587439	3.1170278	2.7801767	-0.16149189	-4.5427155	0.16147478	-4.542512	-3.8078888	10.902488	1.1183877	-0.16691908	0.022331789	-0.13516291	0.022327072	7.1697751e-07	1.606681e-06	0.13517147	1.9428322	0.16691702	-1.9427918	-2.4279802	2.3439092	1	0.30504082	-0.023790546	1.2500481	1.6263221	-0.63216935	-0.20433301	0.08442999	0.18930977	0.040786709	1.6798031	1.7667211	0.32021296	1.7667229	1.5124676	1.1691854	-0.56799291	1.0238725	0.15707346	0.86905797	0.15708281	-2.7190068e-06	-2.6742442e-06	-0.86907752	-1.7323385	-1.0239374	1.7323045	2.7529521	2	2	0	0	-77.235975	R0:S0:1	1.1691854	-124.56736	uncorrelated	2	817c5bc	v2.2.6	YY	12	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-03@11:33
2x2_2C_6b_C2v_L	6.7251973	0	13.587439	3.1170278	2.7852042	-0.16078495	-4.5522949	0.16082118	-4.5526639	-3.8168114	10.912488	1.1194168	-0.16533358	0.022180828	-0.13596806	0.022189814	-7.1426099e-07	-1.7669779e-06	0.13595893	1.9437035	0.16535353	-1.9437826	-2.4293156	2.3439092	1	0.30504082	-0.023677362	1.250435	1.6269849	-0.63063008	-0.20341964	0.084090429	0.18951268	0.040880902	1.6825201	1.7679794	0.31748162	1.7679843	1.5141863	1.1696611	-0.56884872	1.0163404	0.15622019	0.86625311	0.15620523	2.1469406e-06	2.736085e-06	-0.86625205	-1.7277088	-1.01636	1.7277206	2.7495891	2	2	0	0	-77.335637	R0:S0:1	1.1696611	-124.72736	uncorrelated	2	817c5bc	v2.2.6	YY	10	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-03@11:35
2x2_2C_6b_C2v_L	6.7421292	0	13.587439	3.1170278	2.7904817	-0.1601875	-4.5627841	0.16018738	-4.5625793	-3.8258018	10.922488	1.1205036	-0.16375722	0.02204061	-0.1367871	0.022042715	-3.1977637e-07	9.8929473e-07	0.13679234	1.9447549	0.16376101	-1.9447174	-2.4306735	2.3439092	1	0.30504082	-0.023564014	1.2508225	1.62765	-0.62908444	-0.20250247	0.083749782	0.18971411	0.040976387	1.685295	1.769244	0.31471796	1.7692453	1.5159031	1.1701345	-0.56971211	1.0086286	0.15536627	0.86336122	0.15537106	-1.9849887e-06	-1.5296186e-06	-0.86338037	-1.7231164	-1.0086893	1.7230869	2.7462266	2	2	0	0	-77.437162	R0:S0:1	1.1701345	-124.88736	uncorrelated	2	817c5bc	v2.2.6	YY	10	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-03@11:36
2x2_2C_6b_C2v_L	6.7590945	0	13.587439	3.1170278	2.7955361	-0.15956361	-4.5728822	0.15959232	-4.5730515	-3.8347862	10.932488	1.1215517	-0.16213583	0.021896864	-0.13762916	0.021899695	1.6262708e-07	1.8940427e-06	0.137627	1.9457124	0.16215191	-1.9457514	-2.4320279	2.3439092	1	0.30504082	-0.023448936	1.2512102	1.6283161	-0.62753539	-0.2015828	0.083409093	0.18991454	0.041072037	1.688057	1.770501	0.31194423	1.7705044	1.5176105	1.1706061	-0.57057203	1.000825	0.15452024	0.86043625	0.15451865	1.308185e-06	-8.6879633e-06	-0.86045422	-1.7185038	-1.0008607	1.7185018	2.7428825	2	2	0	0	-77.538923	R0:S0:1	1.1706061	-125.04736	uncorrelated	2	817c5bc	v2.2.6	YY	12	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-03@11:38
2x2_2C_6b_C2v_L	6.7761993	0	13.587439	3.1170278	2.8009577	-0.1590581	-4.5837799	0.15903388	-4.583555	-3.8438229	10.942488	1.1226824	-0.16051606	0.021755937	-0.13850187	0.021750223	-1.0153037e-06	-2.3068952e-06	0.13850443	1.9468314	0.16050541	-1.9467835	-2.433402	2.3439092	1	0.30504082	-0.023335407	1.2516002	1.6289884	-0.62597216	-0.20065627	0.083066899	0.19011323	0.041169618	1.6908884	1.7717666	0.30911901	1.7717656	1.5193176	1.1710757	-0.57144546	0.99285948	0.15370177	0.85744856	0.15370766	-2.3626061e-06	9.76186e-06	-0.85744064	-1.7138987	-0.99286579	1.7138809	2.739532	2	2	0	0	-77.642875	R0:S0:1	1.1710757	-125.20736	uncorrelated	2	817c5bc	v2.2.6	YY	12	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-03@11:40
2x2_2C_6b_C2v_L	6.7933197	0	13.587439	3.1170278	2.806115	-0.15851658	-4.5943326	0.15849924	-4.59405	-3.8530664	10.952488	1.1237773	-0.15883104	0.021595976	-0.13938609	0.02159636	6.8269957e-07	-4.2627794e-06	0.13938597	1.9478629	0.15882666	-1.947812	-2.43484	2.3439092	1	0.30504082	-0.023219814	1.25199	1.6296608	-0.62440725	-0.19972799	0.082724228	0.190312	0.041267279	1.6937322	1.7730203	0.30628013	1.7730177	1.5210238	1.1715447	-0.57231204	0.98470895	0.15291641	0.85438279	0.1529164	-6.5009436e-06	1.9434452e-05	-0.85437488	-1.7093087	-0.98472896	1.7092949	2.7361975	2	2	0	0	-77.746443	R0:S0:1	1.1715447	-125.36736	uncorrelated	2	817c5bc	v2.2.6	YY	10	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-03@11:41
2x2_2C_6b_C2v_L	6.810631	0	13.587439	3.1170278	2.811742	-0.15806156	-4.6055556	0.15805357	-4.6054031	-3.8622844	10.962488	1.1249637	-0.15714049	0.021450028	-0.14031272	0.021447148	1.5110896e-06	2.3283352e-06	0.14031434	1.9490282	0.15713832	-1.9489933	-2.4362716	2.3439092	1	0.30504082	-0.023104599	1.252383	1.6303415	-0.62282324	-0.19879019	0.082379568	0.19050754	0.041366736	1.6966222	1.7742854	0.30338923	1.7742891	1.5227295	1.1720104	-0.57319368	0.97641019	0.15212205	0.85123312	0.15212848	-3.3499502e-06	-4.5493238e-06	-0.8512363	-1.7046915	-0.97645471	1.7046538	2.7328484	2	2	0	0	-77.85343	R0:S0:1	1.1720104	-125.52736	uncorrelated	2	817c5bc	v2.2.6	YY	10	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-03@11:43
2x2_2C_6b_C2v_L	6.8280073	0	13.587439	3.1170278	2.8174049	-0.1576368	-4.6168297	0.15763099	-4.6168308	-3.8715826	10.972488	1.1261632	-0.15541523	0.021289386	-0.1412547	0.021290115	8.9578324e-07	-1.3881589e-06	0.14125359	1.9501863	0.15541817	-1.950187	-2.4377288	2.3439092	1	0.30504082	-0.022988108	1.2527768	1.6310242	-0.62123284	-0.19784813	0.082033891	0.19070223	0.04146676	1.6995513	1.7755497	0.30046237	1.7755529	1.5244328	1.172475	-0.57407558	0.96797296	0.15136759	0.84798264	0.15136406	-2.9671848e-06	7.2188812e-06	-0.84797967	-1.7000623	-0.9680142	1.7000433	2.7295065	2	2	0	0	-77.96092	R0:S0:1	1.172475	-125.68736	uncorrelated	2	817c5bc	v2.2.6	YY	10	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-03@11:44
2x2_2C_6b_C2v_L	6.8455201	0	13.587439	3.1170278	2.822976	-0.15726663	-4.6282547	0.15726893	-4.6282757	-3.8810199	10.982488	1.1273467	-0.15366065	0.021127195	-0.14222254	0.021124825	-1.2218888e-06	1.2405915e-06	0.1422237	1.9513666	0.15366429	-1.9513679	-2.4392301	2.3439092	1	0.30504082	-0.022872798	1.253173	1.6317131	-0.61962896	-0.19689902	0.081687289	0.19089654	0.041565734	1.7025282	1.7768104	0.29747943	1.7768146	1.5261343	1.1729388	-0.57494327	0.95937113	0.15063994	0.8446227	0.15064282	1.3767435e-06	-5.2528861e-06	-0.84463094	-1.6954496	-0.95941092	1.6954267	2.7261798	2	2	0	0	-78.069184	R0:S0:1	1.1729388	-125.84736	uncorrelated	2	817c5bc	v2.2.6	YY	11	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-03@11:46
2x2_2C_6b_C2v_L	6.8632349	0	13.587439	3.1170278	2.828845	-0.15697058	-4.6404357	0.15697256	-4.6402805	-3.8904874	10.992488	1.1285897	-0.15188105	0.020965042	-0.14322837	0.02096326	-4.8939949e-07	-3.0998695e-07	0.14323417	1.9526856	0.15188614	-1.9526538	-2.4407459	2.3439092	1	0.30504082	-0.022757082	1.2535727	1.6324109	-0.61800492	-0.19594005	0.081338566	0.19108821	0.041665754	1.7055592	1.7780827	0.2944554	1.7780876	1.5278353	1.1733999	-0.57581783	0.95059008	0.14992136	0.84116507	0.14992921	-3.2717601e-06	1.1357733e-06	-0.8411872	-1.690813	-0.95066725	1.690768	2.7228471	2	2	0	0	-78.180501	R0:S0:1	1.1733999	-126.00736	uncorrelated	2	817c5bc	v2.2.6	YY	11	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-03@11:47
2x2_2C_6b_C2v_L	6.8810913	0	13.587439	3.1170278	2.8348265	-0.15673599	-4.6523952	0.15673892	-4.6523257	-3.9001369	11.002488	1.1298515	-0.15007423	0.020790728	-0.14426042	0.020793808	-1.3265679e-06	-1.2508387e-06	0.14425879	1.9539514	0.15007125	-1.9539322	-2.4423119	2.3439092	1	0.30504082	-0.022640865	1.2539749	1.633114	-0.61636745	-0.19497274	0.080988139	0.19127952	0.041765103	1.7086614	1.779353	0.29133919	1.7793542	1.5295425	1.173861	-0.57668302	0.9416887	0.14925239	0.83754663	0.14925181	-4.2448957e-07	3.4816672e-06	-0.83753959	-1.686154	-0.94168713	1.6861406	2.7195123	2	2	0	0	-78.291949	R0:S0:1	1.173861	-126.16736	uncorrelated	2	817c5bc	v2.2.6	YY	12	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-03@11:49
2x2_2C_6b_C2v_L	6.8991735	0	13.587439	3.1170278	2.841073	-0.15660103	-4.6650802	0.1565852	-4.6649334	-3.9098306	11.012488	1.1311577	-0.14823663	0.020625766	-0.14533128	0.020619551	-6.2091187e-07	-1.4992892e-06	0.14533488	1.9553441	0.14822912	-1.9553155	-2.4439014	2.3439092	1	0.30504082	-0.022524332	1.2543811	1.6338269	-0.61470769	-0.19399414	0.080635147	0.19146862	0.041864172	1.711842	1.7806357	0.28815773	1.7806334	1.53125	1.1743203	-0.57754377	0.93257312	0.14859085	0.8337775	0.14859791	-1.1737478e-06	5.0026667e-06	-0.83377692	-1.6814665	-0.9325616	1.6814653	2.7161762	2	2	0	0	-78.406466	R0:S0:1	1.1743203	-126.32736	uncorrelated	2	817c5bc	v2.2.6	YY	11	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-03@11:51
2x2_2C_6b_C2v_L	6.9174971	0	13.587439	3.1170278	2.847238	-0.1564907	-4.6777672	0.15650071	-4.6776426	-3.9195996	11.022488	1.1324423	-0.14635296	0.020438763	-0.14643087	0.020442157	5.2737239e-07	1.332485e-06	0.14641697	1.9567287	0.1463499	-1.9567022	-2.4455163	2.3439092	1	0.30504082	-0.022407037	1.2547918	1.6345504	-0.61302454	-0.19300347	0.080280584	0.19165731	0.041961879	1.7150911	1.7819137	0.28490531	1.7819123	1.5329566	1.1747795	-0.57838885	0.92328795	0.14797645	0.82984581	0.14797279	-1.281569e-06	-7.7089589e-07	-0.8298169	-1.676786	-0.92325029	1.6767853	2.7128517	2	2	0	0	-78.521386	R0:S0:1	1.1747795	-126.48736	uncorrelated	2	817c5bc	v2.2.6	YY	11	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-03@11:52
2x2_2C_6b_C2v_L	6.936183	0	13.587439	3.1170278	2.854042	-0.15653754	-4.6913247	0.15653197	-4.6912042	-3.9295596	11.032488	1.1338272	-0.14445296	0.020263552	-0.14757371	0.020263405	-4.1187927e-07	-3.7363151e-08	0.14757459	1.9582692	0.14445147	-1.9582498	-2.4471945	2.3439092	1	0.30504082	-0.022289497	1.2552093	1.6352896	-0.61130604	-0.19199482	0.079921882	0.19184287	0.042058387	1.7184659	1.7832138	0.28153495	1.7832116	1.5346766	1.1752367	-0.57922467	0.9137734	0.14737057	0.82567374	0.14737205	-7.8625838e-08	1.1276166e-06	-0.82567462	-1.6720364	-0.91377049	1.672039	2.7095031	2	2	0	0	-78.64078	R0:S0:1	1.1752367	-126.64736	uncorrelated	2	817c5bc	v2.2.6	YY	11	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-03@11:54
2x2_2C_6b_C2v_L	6.9552105	0	13.587439	3.1170278	2.860935	-0.15665227	-4.7050824	0.15665135	-4.7050462	-3.9394894	11.042488	1.1352065	-0.14252226	0.020085676	-0.14874566	0.020083294	4.6406543e-07	-3.1895794e-06	0.14875839	1.9598364	0.1425222	-1.959833	-2.4488639	2.3439092	1	0.30504082	-0.0221705	1.2556333	1.636044	-0.60955433	-0.19096968	0.079561224	0.19202724	0.042153024	1.7219158	1.7845156	0.27807716	1.7845131	1.5363934	1.1756932	-0.58004314	0.90411294	0.14677974	0.8212967	0.14678756	-2.6071414e-06	7.1132334e-06	-0.82132491	-1.6672741	-0.90411655	1.667284	2.7061645	2	2	0	0	-78.761218	R0:S0:1	1.1756932	-126.80736	uncorrelated	2	817c5bc	v2.2.6	YY	11	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-03@11:55
2x2_2C_6b_C2v_L	6.9746974	0	13.587439	3.1170278	2.8683192	-0.1568787	-4.7193795	0.15687006	-4.7191723	-3.9496969	11.052488	1.1366568	-0.14055238	0.019895086	-0.14997189	0.019892412	-6.5347705e-07	1.3957172e-06	0.14997088	1.9614968	0.14054522	-1.9614544	-2.4506239	2.3439092	1	0.30504082	-0.02204974	1.2560662	1.6368184	-0.6077583	-0.18992182	0.079196119	0.19220987	0.04224571	1.7255173	1.78583	0.2744834	1.785829	1.5381288	1.1761501	-0.58084458	0.8942164	0.14623702	0.8166674	0.14624277	-2.0692837e-07	-3.0619717e-06	-0.81666045	-1.6624735	-0.89420495	1.6624612	2.7028021	2	2	0	0	-78.884275	R0:S0:1	1.1761501	-126.96736	uncorrelated	2	817c5bc	v2.2.6	YY	11	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-03@11:57
2x2_2C_6b_C2v_L	6.9948371	0	13.587439	3.1170278	2.8760433	-0.15721789	-4.7340782	0.15718568	-4.7338806	-3.9600196	11.062488	1.1381389	-0.13855286	0.019704027	-0.15121724	0.019698111	-8.4969221e-07	-3.8009563e-06	0.15122874	1.9632213	0.1385448	-1.9631846	-2.4524298	2.3439092	1	0.30504082	-0.021926346	1.2565117	1.6376231	-0.60589852	-0.18884399	0.078827336	0.19239108	0.042335271	1.7292507	1.7871551	0.27076022	1.7871546	1.5398701	1.1766068	-0.58161888	0.88410818	0.14570262	0.81171181	0.14571025	-3.0540685e-06	1.247394e-05	-0.81171985	-1.6576261	-0.88413393	1.6576093	2.6994401	2	2	0	0	-79.009938	R0:S0:1	1.1766068	-127.12736	uncorrelated	2	817c5bc	v2.2.6	YY	13	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-03@11:59
2x2_2C_6b_C2v_L	7.0159844	0	13.587439	3.1170278	2.8839936	-0.15765566	-4.7491779	0.15764869	-4.749182	-3.9704467	11.072488	1.1396327	-0.13650452	0.019500769	-0.15251778	0.019501078	4.2117021e-07	-1.303313e-07	0.1525217	1.9650108	0.13650807	-1.9650101	-2.4542698	2.3439092	1	0.30504082	-0.021799344	1.256977	1.6384753	-0.60394008	-0.18772173	0.0784542	0.19257057	0.042421625	1.7331368	1.7884922	0.26687627	1.7884967	1.5416233	1.1770639	-0.58236632	0.87376387	0.14520509	0.80644669	0.14520489	-1.6979674e-06	1.4092299e-06	-0.80645487	-1.6527274	-0.8738178	1.6526999	2.6960651	2	2	0	0	-79.138108	R0:S0:1	1.1770639	-127.28736	uncorrelated	2	817c5bc	v2.2.6	YY	13	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-03@12:01
2x2_2C_6b_C2v_L	7.0364735	0	13.587439	3.1170278	2.8924814	-0.15823121	-4.7650629	0.15820366	-4.764761	-3.9810724	11.082488	1.1411923	-0.13442393	0.019298312	-0.15384418	0.019294145	-5.8310037e-07	-1.0260102e-06	0.1538592	1.9669341	0.13442628	-1.9668821	-2.4561786	2.3439092	1	0.30504082	-0.021664175	1.2574294	1.6392892	-0.60204907	-0.18661921	0.078075892	0.19274807	0.042505126	1.7371998	1.7898489	0.26282398	1.7898525	1.5433952	1.1775219	-0.58309075	0.86316743	0.14470274	0.80078306	0.14471265	-3.8035427e-06	5.1605325e-06	-0.80081273	-1.6477704	-0.86326579	1.6477208	2.692665	2	2	0	0	-79.269276	R0:S0:1	1.1775219	-127.44736	uncorrelated	2	817c5bc	v2.2.6	YY	12	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-03@12:02
2x2_2C_6b_C2v_L	7.0552784	0	13.587439	3.1170278	2.9013248	-0.15892357	-4.7813774	0.15890576	-4.7812352	-3.991818	11.092488	1.1427822	-0.13230432	0.019087215	-0.15522761	0.019082755	7.8772828e-07	1.8591727e-07	0.15523581	1.9689267	0.13230341	-1.9689004	-2.4581295	2.3439092	1	0.30504082	-0.021523852	1.2578489	1.6400129	-0.60032736	-0.18557743	0.077693284	0.1929232	0.042585238	1.7414229	1.7912243	0.25858884	1.7912266	1.5451808	1.17798	-0.58378759	0.85237583	0.14422226	0.79477745	0.14422926	-2.8355264e-06	9.8533358e-07	-0.79479099	-1.6427222	-0.85242204	1.6426945	2.6892482	2	2	0	0	-79.403735	R0:S0:1	1.17798	-127.60736	uncorrelated	2	817c5bc	v2.2.6	YY	13	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-03@12:04
