D	D2	D2_ave	D_ave	E_kin	U	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	githash	model	mu	mu_ave	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	script	t	t_ave	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	time	tp	tp_ave	tpp	tpp_ave	version	
1e-09	0	0.03078730172	-0.06789849154	-0.7577200607	9.851234568	0.5799254468	0.2811927645	0.389512578	0.8253010084	0.8245469532	0.3897335302	-0.3761711303	0.9305470246	a248bdd	2x2_2C_8b_C2v_L	2.596790123	0.980056084	0.3324718101	-0.004822027301	0.2287494074	0.1807865931	0.1808787836	0.2286526497	-0.0004042418371	-0.000628492067	recalcules_averages.py	1	-0.754004936	-0.001912738388	-0.09693875399	-0.1215480622	0.1303505655	-0.1302880486	0.1216239989	-0.2493498076	-0.25745561	2024-12-09@16:51	-0.1114814815	0.03332503827	0	-0.018385281	v2.7.1	
1e-09	0	0.03136715772	-0.06313989019	-0.7452000927	9.722633745	0.9579386879	0.2113606774	0.3957006202	0.8626840311	0.8647010079	0.3963412241	-0.3894673206	1.07315448	a248bdd	2x2_2C_8b_C2v_L	2.634485597	0.9866451733	0.3306005734	-0.1531559512	0.2247547825	0.1964859058	0.1958107557	0.2253374309	-0.0002578232535	-0.0004742220337	recalcules_averages.py	1	-0.7434100552	0.0001152892661	0.0001196593234	-0.1112612695	0.1103762168	-0.1109611734	0.1110517235	-0.2463629854	-0.2424978927	2024-12-09@16:51	-0.08049382716	0.02223819483	0	-0.01253369259	v2.7.1	
1e-09	0	-0.02051188627	0.03489480006	-0.726996875	9.608093278	0.2406594505	1.041048889	0.4662814933	1.03830478	1.085860983	0.4692515005	-0.4165051583	1.520826651	a248bdd	2x2_2C_8b_C2v_L	2.707846365	0.9985188524	0.1612640615	-0.3244959244	0.2675397333	-0.1224255907	-0.1191946309	0.2697017561	7.980958019e-05	6.871332486e-05	recalcules_averages.py	1	-0.7239028276	-0.0001545490265	-0.0001762970095	0.06344547947	0.1343692678	-0.1382367245	-0.06201705462	-0.2553873712	-0.2492468073	2024-12-09@16:51	-0.1052674897	0.02939224112	0	-0.009713742893	v2.7.1	
1e-09	0	0.03019334462	-0.07372610789	-0.7669555248	9.97702332	0.5410583776	0.2641485792	0.3720647413	0.7955977842	0.7888875688	0.372543074	-0.3597400608	0.8159488693	a248bdd	2x2_2C_8b_C2v_L	2.551961591	0.9732265884	0.3214222843	-0.004789239117	0.2253860882	0.1775383487	0.1780596251	0.2249131911	-0.0001054979531	-0.00023869223	recalcules_averages.py	1	-0.7618102819	-0.002113669116	-0.1061047436	-0.1324541013	0.1401052529	-0.139242721	0.1330025272	-0.2494809602	-0.265946388	2024-12-09@16:52	-0.1313168724	0.03918188639	0	-0.02415575989	v2.7.1	
1e-09	0	0.0324140076	-0.06760869037	-0.7533790487	9.637219936	0.9233342811	0.1987476944	0.3966713444	0.8568889031	0.8602620384	0.3951880964	-0.388467718	1.037156801	a248bdd	2x2_2C_8b_C2v_L	2.620265203	0.9847405979	0.3374001316	0.1456362678	0.2219895166	0.2026029107	0.2032520403	0.2215256464	9.830322496e-05	9.219030529e-05	recalcules_averages.py	1	-0.7521982296	0.002742261935	-0.00336749548	-0.1166254748	0.1090781281	-0.1087826726	0.1165833488	-0.2431513978	-0.2428516918	2024-12-09@16:52	-0.06614540466	0.01785186835	0	-0.01198740066	v2.7.1	
1e-09	0	0.03229089522	-0.06492191664	-0.7560244531	9.439163237	1.058106504	0.2444853036	0.4176952333	0.9133963968	0.9146936966	0.419139979	-0.4078529465	1.156008326	a248bdd	2x2_2C_8b_C2v_L	2.643731139	0.9882211286	0.3559855436	-0.1668212744	0.2211736663	0.2180040055	0.2186832308	0.2210350803	-0.0003230834119	-0.0007996502406	recalcules_averages.py	1	-0.7559321042	0.000686325671	0.0008408119115	-0.1111188854	0.1001604184	-0.09985992346	0.1113803942	-0.2366090255	-0.2369807542	2024-12-09@16:52	-0.019218107	0.00480530628	0	-0.005725666035	v2.7.1	
1e-09	0	0.02531979488	-0.04550486637	-0.7387688471	9.466994361	1.077048685	0.2523733386	0.453096298	0.9423687603	0.9600765119	0.4535733219	-0.4225009732	1.459833587	a248bdd	2x2_2C_8b_C2v_L	2.687172687	0.9956443464	0.3452372217	-0.1669460224	0.2461577045	0.1769339406	0.1756104743	0.2473998559	-0.0001845272921	-0.0003423113113	recalcules_averages.py	1	-0.7380007773	-1.035707096e-05	3.111322033e-06	-0.08565838982	0.1126093369	-0.1141898781	0.08494574542	-0.2456576761	-0.2458190313	2024-12-09@16:53	-0.05138088706	0.01494854954	0	-0.006406877973	v2.7.1	
1e-09	0	0.03093593527	-0.0700298549	-0.7614055926	9.84951608	0.5779884718	0.2889914718	0.388015188	0.8283657412	0.8231598292	0.3862364887	-0.3738156146	0.912774837	a248bdd	2x2_2C_8b_C2v_L	2.585764365	0.9784166706	0.3325110789	-0.0001897199244	0.2281972187	0.1814882626	0.1828544597	0.2269894058	-0.000361416977	-0.0006029625481	recalcules_averages.py	1	-0.7577013011	-7.474294991e-05	-0.1008539526	-0.1246684469	0.1327438425	-0.1312495052	0.1251797255	-0.2488052467	-0.2601261592	2024-12-09@16:53	-0.1113328761	0.03327221559	0	-0.01923372709	v2.7.1	
1e-09	0	0.03214111935	-0.0676284167	-0.7572845273	9.666740334	0.6566963723	0.3129150582	0.4089656729	0.8558518392	0.8628039635	0.4096010546	-0.3939535684	0.9940706678	a248bdd	2x2_2C_8b_C2v_L	2.623059493	0.9836179808	0.362967358	-0.003834315543	0.220294536	0.2103098817	0.2102343935	0.2208404413	-0.0003268986416	-0.0005824117991	recalcules_averages.py	1	-0.7566635402	0.00137516182	0.09536019744	-0.1195169986	0.1080514876	-0.1087241604	0.1194380703	-0.2392010815	-0.2406781188	2024-12-09@16:54	-0.04457399787	0.01393159935	0	-0.009528195468	v2.7.1	
1e-09	0	0.03023520048	-0.05809414394	-0.7460612948	9.501546597	1.074443088	0.248202306	0.4162535133	0.9060490907	0.9043458893	0.4186813054	-0.4174118553	1.242102086	a248bdd	2x2_2C_8b_C2v_L	2.666109164	0.991133669	0.3590939836	-0.1666961962	0.217432505	0.2224380277	0.2216564543	0.2182890727	-0.0001032861125	-0.0002247082478	recalcules_averages.py	1	-0.7459863941	-3.178919518e-05	-4.831831752e-05	-0.1044762898	0.09254004273	-0.09322931563	0.1046244798	-0.2375176406	-0.2338808364	2024-12-09@16:54	-0.01614261037	0.004639932687	0	-0.004445773448	v2.7.1	
