w	up_1	down_1	cumul_up_1	cumul_down_1	
-0.8875	0.0897157	0.0242619	0.38127	0.360427
-0.85	0.093038	0.0260856	0.384759	0.361405
-0.8125	0.095943	0.0284858	0.388357	0.362473
-0.775	0.0979675	0.0314399	0.392031	0.363652
-0.7375	0.0986875	0.0349078	0.395732	0.364961
-0.7	0.0978456	0.0388199	0.399401	0.366417
-0.6625	0.0954956	0.04301	0.402982	0.36803
-0.625	0.0921675	0.047113	0.406438	0.369796
-0.5875	0.0889536	0.0503764	0.409774	0.371686
-0.55	0.0872128	0.0519191	0.413045	0.373632
-0.5125	0.0880437	0.0516473	0.416346	0.375569
-0.475	0.0918796	0.0505246	0.419792	0.377464
-0.4375	0.0983662	0.0497812	0.42348	0.379331
-0.4	0.106657	0.0502574	0.42748	0.381215
-0.3625	0.115791	0.052307	0.431822	0.383177
-0.325	0.12482	0.0559228	0.436503	0.385274
-0.2875	0.13249	0.0606998	0.441471	0.38755
-0.25	0.136517	0.0654987	0.446591	0.390006
-0.2125	0.133802	0.0683763	0.451608	0.392571
-0.175	0.123006	0.0678378	0.456221	0.395114
-0.1375	0.106937	0.0646093	0.460231	0.397537
-0.1	0.090477	0.0611085	0.463624	0.399829
-0.0625	0.0769374	0.0594082	0.466509	0.402057
-0.025	0.0673671	0.0605557	0.469036	0.404328
0.0125	0.061663	0.0650539	0.471348	0.406767
0.05	0.0594441	0.073299	0.473577	0.409516
0.0875	0.0602717	0.0855498	0.475837	0.412724
0.125	0.0633482	0.101277	0.478213	0.416522
0.1625	0.066955	0.117994	0.480724	0.420947
0.2	0.0685952	0.13105	0.483296	0.425861
0.2375	0.0667751	0.136499	0.4858	0.43098
0.275	0.0623811	0.134388	0.488139	0.436019
0.3125	0.0574233	0.127613	0.490293	0.440805
0.35	0.0533478	0.118862	0.492293	0.445262
0.3875	0.0507597	0.109655	0.494197	0.449374
0.425	0.049778	0.100977	0.496063	0.453161
0.4625	0.0501824	0.0937833	0.497945	0.456678
0.5	0.0513033	0.088991	0.499869	0.460015
0.5375	0.051999	0.0871661	0.501819	0.463283
0.575	0.0511114	0.0881454	0.503736	0.466589
0.6125	0.0483425	0.0910168	0.505549	0.470002
0.65	0.0444154	0.0944518	0.507214	0.473544
0.6875	0.0401977	0.0972151	0.508722	0.47719
0.725	0.0361683	0.0985857	0.510078	0.480887
0.7625	0.0325408	0.0983698	0.511298	0.484575
0.8	0.0294112	0.0967389	0.512401	0.488203
0.8375	0.0268214	0.0940739	0.513407	0.491731
0.875	0.0248085	0.0908485	0.514337	0.495138
0.9125	0.023324	0.0874001	0.515212	0.498415
0.95	0.0221643	0.0837298	0.516043	0.501555
0.9875	0.0210409	0.0798165	0.516832	0.504548
1.025	0.0197135	0.0760004	0.517571	0.507398
1.0625	0.0181134	0.0729495	0.518251	0.510134
1.1	0.0163771	0.0712611	0.518865	0.512806
1.1375	0.0147219	0.0709366	0.519417	0.515466
1.175	0.0132736	0.0713227	0.519915	0.518141
1.2125	0.0120232	0.0717297	0.520365	0.520831
1.25	0.0109114	0.0716814	0.520775	0.523519
1.2875	0.00991335	0.0704768	0.521146	0.526162
1.325	0.00904708	0.0679778	0.521486	0.528711
1.3625	0.00832249	0.0650635	0.521798	0.531151
1.4	0.00771492	0.0623079	0.522087	0.533487
1.4375	0.00718218	0.0599955	0.522356	0.535737
1.475	0.00669801	0.0584138	0.522607	0.537928
1.5125	0.00626569	0.0576502	0.522842	0.540089
1.55	0.00589638	0.0574993	0.523064	0.542246
1.5875	0.00558685	0.0575311	0.523273	0.544403
1.625	0.00531744	0.0572344	0.523472	0.546549
1.6625	0.00506477	0.0562752	0.523662	0.54866
1.7	0.00481869	0.0547255	0.523843	0.550712
1.7375	0.00458585	0.0529515	0.524015	0.552698
1.775	0.0043777	0.0512618	0.524179	0.55462
1.8125	0.00419899	0.0496992	0.524337	0.556484
