GS_consistency	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	githash	model	mu	script	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	time	tpd	tpp	tppp	version	
NY	9.5	3.4161	-0.20212154	-2.9412095	-3.0954511	0.039657664	-3.0949369	0.03968872	0.039924269	-2.8636244	a248bdd	2x2_2C_8b_C2v_L	9.96	validity_data_2022.py	-0.1981028	1.0403717	-1.5451617	0.16635971	1.5450421	-0.16637725	0.20803429	-2.0741963	2024-08-14@08:42	2.0342	1	0.236	v2.7.1	
NY	9.5	3.4161	-0.20642972	-2.9550187	-3.1007	0.039728968	-3.101607	0.039770038	0.040003062	-2.8709827	a248bdd	2x2_2C_8b_C2v_L	9.97	validity_data_2022.py	-0.19899121	1.0417688	-1.5453934	0.16585634	1.5456155	-0.16589483	0.20769313	-2.074578	2024-08-14@08:43	2.0342	1	0.236	v2.7.1	
NY	9.5	3.4161	-0.21450244	-2.9674168	-3.1021664	0.037545517	-3.1029685	0.037540647	0.039031893	-2.8712189	a248bdd	2x2_2C_8b_C2v_L	9.98	validity_data_2022.py	-0.19988172	1.0423935	-1.5446587	0.164636	1.5448199	-0.16464726	0.20570948	-2.0730547	2024-08-14@08:44	2.0342	1	0.236	v2.7.1	
NY	9.5	3.4161	-0.21697475	-2.9744941	-3.1065768	0.036381283	-3.1064924	0.036373724	0.038815455	-2.8763487	a248bdd	2x2_2C_8b_C2v_L	9.99	validity_data_2022.py	-0.19983117	1.042866	-1.54448	0.16371615	1.5444627	-0.16371979	0.20469562	-2.0727989	2024-08-14@08:45	2.0342	1	0.236	v2.7.1	
NY	9.5	3.4161	-0.22256211	-2.9884669	-3.112456	0.036343075	-3.1131545	0.036398715	0.038739012	-2.8828198	a248bdd	2x2_2C_8b_C2v_L	10	validity_data_2022.py	-0.2007512	1.0442495	-1.5449203	0.16320223	1.5451007	-0.16323576	0.20418688	-2.0729613	2024-08-14@08:45	2.0342	1	0.236	v2.7.1	
NY	9.5	3.4161	-0.22752455	-2.9940236	-3.1139396	0.034237469	-3.1144412	0.034216232	0.038598301	-2.8844298	a248bdd	2x2_2C_8b_C2v_L	10.01	validity_data_2022.py	-0.20044483	1.0443326	-1.5441556	0.16211807	1.5442631	-0.16212461	0.2030225	-2.0719994	2024-08-14@08:46	2.0342	1	0.236	v2.7.1	
NY	9.5	3.4161	-0.23031348	-3.0061596	-3.1210435	0.034379333	-3.121549	0.034366353	0.038495765	-2.8927828	a248bdd	2x2_2C_8b_C2v_L	10.02	validity_data_2022.py	-0.20106531	1.0455492	-1.5447188	0.16158209	1.5448277	-0.16158867	0.20251382	-2.0725021	2024-08-14@08:47	2.0342	1	0.236	v2.7.1	
NY	9.5	3.4161	-0.23621674	-3.0127427	-3.1239667	0.032860549	-3.1239428	0.032851837	0.038459315	-2.8953747	a248bdd	2x2_2C_8b_C2v_L	10.03	validity_data_2022.py	-0.20083987	1.0459245	-1.5444308	0.16075828	1.544406	-0.16075181	0.2017868	-2.0718615	2024-08-14@08:47	2.0342	1	0.236	v2.7.1	
NY	9.5	3.4161	-0.23840993	-3.022661	-3.1295456	0.032454394	-3.1301355	0.032461331	0.038311825	-2.9028836	a248bdd	2x2_2C_8b_C2v_L	10.04	validity_data_2022.py	-0.20114824	1.0467668	-1.5445149	0.16005965	1.5446518	-0.16007387	0.20112452	-2.072129	2024-08-14@08:48	2.0342	1	0.236	v2.7.1	
NY	9.5	3.4161	-0.24373659	-3.0297081	-3.1339753	0.031418207	-3.1339255	0.031413286	0.038171686	-2.9065019	a248bdd	2x2_2C_8b_C2v_L	10.05	validity_data_2022.py	-0.20087409	1.0473866	-1.5446087	0.15940401	1.5445926	-0.15939111	0.20053724	-2.0716703	2024-08-14@08:49	2.0342	1	0.236	v2.7.1	
NY	9.5	3.4161	-0.24564484	-3.0372739	-3.1397058	0.030873915	-3.1398272	0.030885181	0.037985464	-2.9137384	a248bdd	2x2_2C_8b_C2v_L	10.06	validity_data_2022.py	-0.20086327	1.0479566	-1.5447324	0.15867364	1.5447638	-0.15867893	0.19987797	-2.0718869	2024-08-14@08:49	2.0342	1	0.236	v2.7.1	
