w	up_1	down_1	cumul_up_1	cumul_down_1	
-3.85	0.0786441	0.0810619	0.172026	0.390469
-3.8125	0.0794795	0.0708379	0.175006	0.393126
-3.775	0.0806318	0.0611919	0.17803	0.39542
-3.7375	0.0820673	0.0525296	0.181108	0.39739
-3.7	0.0836921	0.0454068	0.184246	0.399093
-3.6625	0.0854393	0.0400112	0.18745	0.400593
-3.625	0.0872777	0.0362244	0.190723	0.401952
-3.5875	0.0891968	0.0338297	0.194068	0.40322
-3.55	0.0911904	0.0325784	0.197487	0.404442
-3.5125	0.0932507	0.0321028	0.200984	0.405646
-3.475	0.0953491	0.0318005	0.20456	0.406838
-3.4375	0.0974204	0.0309667	0.208213	0.408
-3.4	0.0993614	0.0292783	0.211939	0.409098
-3.3625	0.101101	0.0270638	0.215731	0.410112
-3.325	0.102728	0.0249214	0.219583	0.411047
-3.2875	0.104505	0.0232493	0.223502	0.411919
-3.25	0.106664	0.0221799	0.227502	0.412751
-3.2125	0.109273	0.0217204	0.231599	0.413565
-3.175	0.11231	0.0218644	0.235811	0.414385
-3.1375	0.115746	0.0226426	0.240152	0.415234
-3.1	0.119574	0.0241404	0.244636	0.416139
-3.0625	0.123802	0.0264988	0.249278	0.417133
-3.025	0.128443	0.0298824	0.254095	0.418254
-2.9875	0.133472	0.0343682	0.2591	0.419543
-2.95	0.138769	0.0397117	0.264304	0.421032
-2.9125	0.144007	0.0451071	0.269704	0.422723
-2.875	0.148463	0.0493263	0.275271	0.424573
-2.8375	0.150872	0.051432	0.280929	0.426502
-2.8	0.149623	0.0514034	0.28654	0.428429
-2.7625	0.143878	0.0499096	0.291935	0.430301
-2.725	0.134971	0.0476699	0.296997	0.432089
-2.6875	0.125815	0.0451728	0.301715	0.433782
-2.65	0.118663	0.0427448	0.306165	0.435385
-2.6125	0.114081	0.0407007	0.310443	0.436912
-2.575	0.111287	0.0394614	0.314616	0.438392
-2.5375	0.10855	0.0395324	0.318687	0.439874
-2.5	0.103565	0.0413405	0.32257	0.441424
-2.4625	0.0947205	0.0450752	0.326122	0.443115
-2.425	0.0826951	0.0505639	0.329223	0.445011
-2.3875	0.0699769	0.0571409	0.331848	0.447153
-2.35	0.0587103	0.0636177	0.334049	0.449539
-2.3125	0.049706	0.0684917	0.335913	0.452108
-2.275	0.0428712	0.0704285	0.337521	0.454749
-2.2375	0.0378158	0.0687908	0.338939	0.457328
-2.2	0.0341539	0.0638855	0.34022	0.459724
-2.1625	0.0315923	0.0568939	0.341404	0.461858
-2.125	0.0299375	0.0494528	0.342527	0.463712
-2.0875	0.029082	0.0429938	0.343618	0.465324
-2.05	0.0289929	0.0383078	0.344705	0.466761
-2.0125	0.0297013	0.0356145	0.345819	0.468096
-1.975	0.0312856	0.0348551	0.346992	0.469403
-1.9375	0.0338221	0.0358291	0.34826	0.470747
-1.9	0.0372801	0.0380457	0.349658	0.472174
-1.8625	0.041414	0.0404333	0.351211	0.47369
-1.825	0.0457993	0.0414426	0.352929	0.475244
-1.7875	0.0499184	0.0399693	0.354801	0.476743
-1.75	0.0531092	0.0362544	0.356792	0.478102
-1.7125	0.0547439	0.0315803	0.358845	0.479287
-1.675	0.0545749	0.0272098	0.360892	0.480307
-1.6375	0.0528396	0.0237907	0.362873	0.481199
-1.6	0.0501501	0.02146	0.364754	0.482004
-1.5625	0.0472786	0.020126	0.366527	0.482759
-1.525	0.0449996	0.0195937	0.368214	0.483494
-1.4875	0.0439693	0.0195164	0.369863	0.484225
-1.45	0.0446283	0.0193362	0.371537	0.48495
-1.4125	0.0472341	0.018507	0.373308	0.485644
-1.375	0.0519384	0.0169396	0.375256	0.48628
-1.3375	0.0587079	0.0150289	0.377457	0.486843
-1.3	0.0670645	0.0132128	0.379972	0.487339
-1.2625	0.0759437	0.0116989	0.38282	0.487777
-1.225	0.0840475	0.010508	0.385972	0.488172
-1.1875	0.0905009	0.00958753	0.389366	0.488531
-1.15	0.0952318	0.00887554	0.392937	0.488864
-1.1125	0.098905	0.00832133	0.396646	0.489176
-1.075	0.102456	0.0078874	0.400488	0.489472
-1.0375	0.106521	0.00754652	0.404482	0.489755
-1	0.111276	0.00727893	0.408655	0.490028
-0.9625	0.116562	0.00707025	0.413026	0.490293
-0.925	0.121924	0.00691001	0.417598	0.490552
-0.8875	0.126533	0.00679052	0.422343	0.490807
-0.85	0.129197	0.00670615	0.427188	0.491058
-0.8125	0.128934	0.00665276	0.432023	0.491308
-0.775	0.126115	0.00662745	0.436753	0.491556
-0.7375	0.122656	0.00662828	0.441352	0.491805
-0.7	0.120358	0.00665404	0.445866	0.492054
-0.6625	0.119486	0.00670404	0.450346	0.492306
-0.625	0.118829	0.00677806	0.454802	0.49256
-0.5875	0.11657	0.0068763	0.459174	0.492818
-0.55	0.111339	0.00699941	0.463349	0.49308
-0.5125	0.102799	0.00714854	0.467204	0.493348
-0.475	0.0914824	0.00732531	0.470635	0.493623
-0.4375	0.0785317	0.00753197	0.47358	0.493905
-0.4	0.0655344	0.00777141	0.476037	0.494197
-0.3625	0.0539391	0.00804725	0.47806	0.494499
-0.325	0.0444372	0.00836393	0.479726	0.494812
-0.2875	0.0369945	0.00872685	0.481114	0.495139
-0.25	0.0312492	0.00914262	0.482285	0.495482
-0.2125	0.0268014	0.00961946	0.48329	0.495843
-0.175	0.0233197	0.0101676	0.484165	0.496224
-0.1375	0.0205559	0.0107998	0.484936	0.496629
