w	up_1	down_1	cumul_up_1	cumul_down_1	
-5.78579	0.0286396	0.0689543	0.0232165	0.120206
-5.75075	0.0319896	0.0695326	0.0243373	0.122642
-5.71572	0.0357602	0.0703754	0.0255902	0.125107
-5.68068	0.0393938	0.0713759	0.0269703	0.127608
-5.64565	0.0420606	0.0724541	0.0284439	0.130146
-5.61061	0.0435213	0.0736127	0.0299687	0.132725
-5.57558	0.0444785	0.0748462	0.031527	0.135348
-5.54054	0.0458309	0.0759151	0.0331327	0.138007
-5.50551	0.0478813	0.076421	0.0348102	0.140685
-5.47047	0.0503918	0.0762178	0.0365757	0.143355
-5.43544	0.0531957	0.0755895	0.0384394	0.146003
-5.4004	0.0564265	0.0749991	0.0404163	0.148631
-5.36537	0.0602015	0.0747505	0.0425255	0.15125
-5.33033	0.0644407	0.0749091	0.0447831	0.153874
-5.2953	0.0687244	0.0754099	0.0471909	0.156516
-5.26026	0.0721021	0.0761557	0.049717	0.159184
-5.22523	0.0735083	0.0770572	0.0522924	0.161884
-5.19019	0.0724912	0.0780391	0.0548321	0.164618
-5.15516	0.0693666	0.0790338	0.0572624	0.167387
-5.12012	0.064942	0.08	0.0595376	0.17019
-5.08509	0.060122	0.0809658	0.061644	0.173027
-5.05005	0.0555997	0.0820634	0.0635919	0.175902
-5.01502	0.0519239	0.0833928	0.0654111	0.178823
-4.97998	0.0496118	0.0848258	0.0671492	0.181795
-4.94494	0.0489996	0.086093	0.0688659	0.184811
-4.90991	0.0501019	0.0870554	0.0706212	0.187861
-4.87487	0.0526325	0.0878187	0.0724652	0.190938
-4.83984	0.0560694	0.0886	0.0744296	0.194042
-4.8048	0.05972	0.0895092	0.0765219	0.197178
-4.76977	0.062812	0.0904637	0.0787225	0.200348
-4.73473	0.0646414	0.0912415	0.0809873	0.203544
-4.6997	0.0648113	0.0915938	0.0832579	0.206753
-4.66466	0.0633663	0.091416	0.085478	0.209956
-4.62963	0.0607066	0.0909614	0.0876048	0.213143
-4.59459	0.0574872	0.0908108	0.0896189	0.216324
-4.55956	0.0545264	0.0915514	0.0915292	0.219532
-4.52452	0.0526137	0.0933682	0.0933725	0.222803
-4.48949	0.0522633	0.095943	0.0952036	0.226164
-4.45445	0.053543	0.0987792	0.0970795	0.229625
-4.41942	0.0560913	0.101537	0.0990446	0.233183
-4.38438	0.0593148	0.104044	0.101123	0.236828
-4.34935	0.0625693	0.106133	0.103315	0.240546
-4.31431	0.0651916	0.107626	0.105599	0.244317
-4.27928	0.0666296	0.10853	0.107933	0.248119
-4.24424	0.0668556	0.109269	0.110275	0.251947
-4.20921	0.0665691	0.110452	0.112608	0.255817
-4.17417	0.0666956	0.112409	0.114944	0.259755
-4.13914	0.0676635	0.115094	0.117315	0.263788
-4.1041	0.0692516	0.118304	0.119741	0.267932
-4.06907	0.0709831	0.121882	0.122228	0.272203
-4.03403	0.0725162	0.125807	0.124769	0.27661
-3.999	0.0737377	0.130183	0.127352	0.281171
-3.96396	0.0745685	0.13506	0.129965	0.285903
-3.92893	0.0748631	0.140192	0.132587	0.290815
-3.89389	0.0746259	0.144776	0.135202	0.295887
-3.85886	0.0741088	0.147371	0.137798	0.30105
-3.82382	0.0736018	0.146459	0.140377	0.306181
-3.78879	0.0732942	0.141689	0.142945	0.311145
-3.75375	0.0733278	0.134574	0.145514	0.31586
-3.71872	0.0738306	0.127462	0.148101	0.320326
-3.68368	0.0748163	0.121887	0.150722	0.324596
-3.64865	0.0761443	0.118084	0.15339	0.328733
-3.61361	0.0776329	0.115489	0.156109	0.332779
-3.57858	0.0791754	0.113315	0.158883	0.336749
-3.54354	0.0807153	0.110788	0.161711	0.340631
